,headline,datetime,neg,neu,pos,sentiment_score
0,"Nasdaq Slashes Gains, Dow Still Leads; Flooring Stock Reaches A High As This Auto Stock Plunges",2024-03-22 15:29:00,0.103,0.69,0.207,0.2023
1,"Microsoft Unveils AI PCs, Touts Copilot AI Services At 'New Era Of Work' Event",2024-03-22 14:53:00,0.078,0.922,0.0,-0.0258
2,Microsoft really wants to talk about Copilot,2024-03-22 14:30:00,0.0,1.0,0.0,0.0
3,Microsoft's First AI Surface PC: What Does It Offer?,2024-03-22 14:29:00,0.0,1.0,0.0,0.0
4,Stocks March Higher; Dow Gets A Lift From This Bank As Financials Make New Highs,2024-03-22 14:10:00,0.0,1.0,0.0,0.0
5,Why the Department of Justice Is Suing Apple,2024-03-22 13:50:00,0.183,0.522,0.296,0.3182
6,15 Dorm Room Business Ideas for College Students,2024-03-22 13:49:00,0.0,1.0,0.0,0.0
7,"UPDATE 2-Microsoft agreed to pay Inflection $650 mln while hiring its staff, source says",2024-03-22 13:22:00,0.09,0.774,0.135,0.1779
8,15 Top Amazon Web Services Alternatives in 2024,2024-03-22 13:17:00,0.0,0.632,0.368,0.3612
9,Microsoft launches AI PCs,2024-03-22 13:08:00,0.0,1.0,0.0,0.0
10,"Microsoft agreed to pay Inflection $650 million while hiring its staff, source says",2024-03-22 12:55:00,0.097,0.759,0.145,0.1779
11,"Microsoft agreed to pay Inflection $650 mln while hiring its staff, Information reports",2024-03-22 12:52:00,0.097,0.759,0.145,0.1779
12,Ukraine opens new front in Minecraft game to tackle alleged Russian misinformation,2024-03-22 12:43:00,0.173,0.827,0.0,-0.3182
13,20 Largest Companies in the World by Market Cap in 2024,2024-03-22 12:31:00,0.0,1.0,0.0,0.0
14,"Magnificent Seven Stocks To Buy And Watch: Nvidia Stock Rallies; Apple, Tesla Fall",2024-03-22 12:29:00,0.0,0.755,0.245,0.5994
15,"Stocks Remain Strong With Dow, S&P 500 Holding Near Highs; Apple Falls On Lawsuit News",2024-03-22 12:28:00,0.104,0.714,0.181,0.34
16,Today's Dow Jones Stocks To Watch: Apple Stock Sells Off On DOJ Lawsuit,2024-03-22 12:27:00,0.137,0.863,0.0,-0.2263
